"字詞名","注音一式","釋義"
"撥開","ㄅㄛ　ㄎㄞ","將物推開或分開。[例]他用竹竿將草叢撥開，探路前進。"
"撥款","ㄅㄛ　ㄎㄨㄢˇ","調配發放款項。[例]颱風橫掃肆虐後，政府撥款賑災。"
"撥交","ㄅㄛ　ㄐㄧㄠ","調撥發給。[例]中央開會決定，撥交一筆經費補助地方建設。"
"撥出","ㄅㄛ　ㄔㄨ","抽出、騰出。[例]撥出空檔"
"撥冗","ㄅㄛ　ㄖㄨㄥˇ","排除繁瑣的事務，抽出空閒的時間。[例]感謝大家在百忙之中，撥冗參加這次的會議。"
"撥雲見日","ㄅㄛ　ㄩㄣˊ　ㄐㄧㄢˋ　ㄖˋ","比喻除去障礙，重見光明。[例]承蒙您的協助，終於使這件事得以撥雲見日。"
"撥用","ㄅㄛ　ㄩㄥˋ","勻出部分以供使用。[例]為了搶修道路，省府同意先行撥用預備金。"
"百","ㄅㄛˊ","地名。[例]百色"
"伯","ㄅㄛˊ","1.稱謂：(1) 稱父親的哥哥。[例]大伯、二伯　(2) 稱丈夫的哥哥。[例]大伯　(3) 尊稱年齡或輩分較高的人。[例]老伯、世伯
2.古人以兄弟長幼排行中最大的為伯。[例]伯仲叔季
3.古代封建制度裡，公、侯、伯、子、男五等爵位的第三等。如春秋時的鄭伯。"
"伯伯","ㄅㄛˊ　˙ㄅㄛ","稱謂。對伯父的口語稱呼，也可作為一般父親輩長輩的敬稱。[例]伯伯，您老人家放心養病，姪兒的事不必掛慮。"
"伯母","ㄅㄛˊ　ㄇㄨˇ","稱謂：(1) 稱伯父的妻子。[例]伯母細心的照拂輪椅上的伯父，真令人感動。　◎　(2) 稱同學或朋友的母親。[例]伯母好，今天來府上打擾了！"
"伯父","ㄅㄛˊ　ㄈㄨˋ","稱謂：(1) 稱父親的哥哥。[例]伯父雖然年近六十，但眼神炯炯，活力充沛，看起來比父親還年輕。　◎　(2) 稱年紀較長於父親的人。[例]伯父與家父是世交，所以這件事無論如何請幫忙。　(3) 稱同學或朋友的父親。[例]今天到同學家玩，伯父、伯母準備了很多零食招待我們。"
"伯樂","ㄅㄛˊ　ㄌㄜˋ","指周代善於相馬的人孫伯樂。後用來比喻善於發掘人才的人。[例]好人才還是得靠伯樂來發掘，才不會被埋沒。"
"伯勞","ㄅㄛˊ　ㄌㄠˊ","動物名。鳥綱燕雀目伯勞科。種類多，以臺灣常見的紅尾伯勞為例，體型較雀稍大，頭、頸、背部呈珠灰色，至腰部漸轉為紅褐色。常在草坡、疏樹林或農田村舍附近活動，常立於枝柱上。性凶猛，喜食昆蟲、蛙類、蜥蜴。成語中的「勞燕分飛」，勞指的就是伯勞鳥。[例]屏東恆春一帶每年九月後，都有伯勞來訪，我們應當好好保護這批大自然的訪客。　◎"
"伯仲","ㄅㄛˊ　ㄓㄨㄥˋ","1.兄弟間排行的次序。
2.比喻程度相當，不分上下。[例]她的氣質、儀態與第一名相伯仲。"
"伯仲之間","ㄅㄛˊ　ㄓㄨㄥˋ　ㄓ　ㄐㄧㄢ","比喻程度相當，不相上下。[例]他們兩人的學術地位在伯仲之間。"
"泊","ㄅㄛˊ","1.船隻靠岸。[例]泊岸、停泊
2.湖沼。[例]湖泊
3.棲止、停留。[例]漂泊
4.恬靜、淡默。[例]淡泊"
"泊車","ㄅㄛˊ　ㄔㄜ","停車。§英park[例]代客泊車"
"泊船","ㄅㄛˊ　ㄔㄨㄢˊ","船停靠在岸邊。[例]我們在岸邊泊船，打算到島上觀光。"
"帛","ㄅㄛˊ","絲織品的總稱。[例]絹帛"
"帛書","ㄅㄛˊ　ㄕㄨ","寫在絹帛上的書文。[例]帛書老子"
"柏","ㄅㄛˊ","1.柏科植物的總稱。常綠喬木。性耐寒，葉小、鱗形，木質紋理細密，是上好材質。有扁柏、側柏、檜柏、羅漢柏等數種。[例]松柏長青　◎
2.姓。"
"柏金森氏病","ㄅㄛˊ　ㄐㄧㄣ　ㄙㄣ　ㄕˋ　ㄅㄧㄥˋ","一種因中樞神經系統退化而引起的慢性疾病。西元1817年由英國醫師柏金森（Parkinson）提出，主要病症為四肢顫抖、麻痺、行動緩慢、彎腰曲背、面部表情呆板。患者年齡多在五、六十歲以上。[例]手指不自主的作搓藥丸狀顫抖，常是柏金森氏病發病症狀之一。　△帕金森氏病"
"柏樹","ㄅㄛˊ　ㄕㄨˋ","→柏"
"柏油","ㄅㄛˊ　ㄧㄡˊ","煙煤、石油、油頁岩、木材或其他有機物乾餾後，凝聚而成具有稠度的液體或半固體。主要成分為瀝青，呈褐色或黑色，是製造煤氣時的副產品。[例]自從這條泥土路鋪上柏油後，光整的路面取代過去塵土飛揚的情形。"
"舶","ㄅㄛˊ","大船。[例]船舶"
"舶來品","ㄅㄛˊ　ㄌㄞˊ　ㄆㄧㄣˇ","由外國進口的貨物。[例]委託行裡賣的舶來品，多半價值不菲。"
"鉑","ㄅㄛˊ","化學元素。符號為Pt。有銀白色光澤，質軟而延展性強，不受酸鹼的侵蝕，是工業上最好的催化劑。可供製造化學、耐熱用具和度量衡用器，也可作裝飾品。[例]硝酸的製造，石油的精煉，都得靠鉑的幫助才能達成。"
"箔","ㄅㄛˊ","1.金屬打成的薄片。[例]錫箔、鋁箔
2.祭祀時焚化用的紙。[例]冥箔
3.用細竹或蘆草編成的養蠶器具。[例]蠶箔
4.簾子。[例]珠箔"
"勃","ㄅㄛˊ","1.旺盛、興起。[例]蓬勃、生氣勃勃
2.→勃然"
"勃勃","ㄅㄛˊ　ㄅㄛˊ","旺盛的樣子。[例]他看起來一副野心勃勃的樣子。"
"勃發","ㄅㄛˊ　ㄈㄚ","形容精神旺盛、煥發。[例]英姿勃發"
"勃起","ㄅㄛˊ　ㄑㄧˇ","1.興起。[例]春秋戰國時代眾說勃起，百家爭鳴。
2.當男人或雄性動物性興奮時，陰莖內因動脈擴張，海綿體充血，而使陰莖膨大、豎直的現象。[例]根據統計，婚後男性無法正常勃起，經常是心理因素所造成的。"
"勃谿","ㄅㄛˊ　ㄒㄧ","彼此意見不合，發生爭論。[例]兄弟鬩牆，家人勃谿，都是家門不幸。"
"勃興","ㄅㄛˊ　ㄒㄧㄥ","蓬勃發展。[例]打陀螺的風氣在這幾年又勃興起來。"
"勃然","ㄅㄛˊ　ㄖㄢˊ","1.非常生氣的樣子。[例]勃然變色、勃然大怒
2.興起、奮起的樣子。[例]勃然而起、勃然而興"
"悖","ㄅㄛˊ","旺盛。通「勃」。"
"脖","ㄅㄛˊ","1.頭與身體相連的部分。　△脖子
2.身體其他兩部分相接似脖子的部位。[例]手脖子、腳脖子
3.器物上像頸項的部分。[例]瓶脖兒"
"脖子","ㄅㄛˊ　˙ㄗ","頭與身體接連的部位。[例]昨晚睡覺時不小心扭到脖子了。　△脖　◎"
"渤","ㄅㄛˊ","→渤海"
"博","ㄅㄛˊ","1.廣大、眾多。[例]廣博、地大物博、博學多聞
2.古代的一種棋戲。後泛指賭錢。[例]賭博
3.獲取。[例]博取同情、博得美人心"
"博大精深","ㄅㄛˊ　ㄉㄚˋ　ㄐㄧㄥ　ㄕㄣ","廣博宏闊，精密深奧。[例]中華文化歷史悠久，博大精深。"
"博得","ㄅㄛˊ　ㄉㄜˊ","取得、獲得。[例]他今晚的表演博得滿場熱烈的掌聲。"
"博覽","ㄅㄛˊ　ㄌㄢˇ","廣博閱覽。[例]博覽群書"
"博覽會","ㄅㄛˊ　ㄌㄢˇ　ㄏㄨㄟˋ","廣集各式工商產品陳列展覽，藉以促進文化交流、工商業進步的展覽會。[例]萬國博覽會"
"博古通今","ㄅㄛˊ　ㄍㄨˇ　ㄊㄨㄥ　ㄐㄧㄣ","學問淵博，通曉古今。[例]他博古通今，演講時總是引經據典。"
"博取","ㄅㄛˊ　ㄑㄩˇ","取得。[例]博取好感、博取信任"
"博學","ㄅㄛˊ　ㄒㄩㄝˊ","1.廣泛的學習。[例]博學、審問、慎思、明辨是做學問的四大要領。
2.學識豐富廣博。[例]博學之士"
"博施濟眾","ㄅㄛˊ　ㄕ　ㄐㄧˋ　ㄓㄨㄥˋ","廣施德惠，救助眾人。[例]善心人士博施濟眾，化一己之力救眾生之苦。"
"博士","ㄅㄛˊ　ㄕˋ","1.在大學或獨立學院研究所研讀的博士候選人，通過該校（院）學位考試，經教育部覆核無異後，所獲頒的學位，為現今最高的學位。獲得此學位的人也稱博士。[例]法學博 士、文學博士
2.舊時對有特殊技能或專業人員的尊稱。如茶館煎茶的師傅稱為「煎茶博士」。
3.職官名。起源於戰國，秦、漢時設置。掌通古今，以備諮詢，相當於學術顧問。[例]五經博士"
"博士學位","ㄅㄛˊ　ㄕˋ　ㄒㄩㄝˊ　ㄨㄟˋ","在大學或獨立學院研究所研讀的博士候選人，通過該校（院）學位考試，並經教育部覆核無異後，所獲頒的學位，為現今教育體制的最高學位。[例]這幾年國內大學為提升師資水準，紛紛要求延聘具博士學位的學者任教。"
"博愛","ㄅㄛˊ　ㄞˋ","1.平等遍及眾人的愛心。[例]人們將十二月二十五日耶穌誕生日定為耶誕節，是用來感念祂的博愛。
2.廣施愛心。[例]博愛眾生"
"博雅","ㄅㄛˊ　ㄧㄚˇ","學識淵博，品行雅正。[例]博雅君子"
"博物","ㄅㄛˊ　ㄨˋ","1.博通萬物，知識廣博。[例]我們老師可以說博物通聞了，任何問題都難不倒他。
2.動物、植物、礦物等學科的總稱。"
"博物館","ㄅㄛˊ　ㄨˋ　ㄍㄨㄢˇ","蒐集、陳列各式各樣物品，讓人觀賞，並永久保存及提供研究的場所。[例]一座典藏豐富的博物館就等於是一個知識寶庫。"
"博聞強記","ㄅㄛˊ　ㄨㄣˊ　ㄑㄧㄤˊ　ㄐㄧˋ","見聞廣博，記憶力特強。[例]總編最令人佩服之處就是能博聞強記，不但看的書多，並且過目不忘。"
"搏","ㄅㄛˊ","1.相互撲打。[例]搏鬥、搏擊、肉搏
2.跳動。[例]脈搏"
"搏命","ㄅㄛˊ　ㄇㄧㄥˋ","不顧生命，全力以赴。[例]這位影星經常在影片中搏命演出，從不使用替身。"
"搏鬥","ㄅㄛˊ　ㄉㄡˋ","1.徒手或以刀、棍等器物激烈對打。[例]武松就在景陽崗上與老虎展開了一場搏鬥！
2.比喻對抗。[例]他因嚴重車禍，正在加護病房與死神搏鬥。"
"搏擊","ㄅㄛˊ　ㄐㄧˊ","奮力攻擊、爭鬥。[例]泛舟活動就是要從搏擊風浪中養成堅毅的精神。"
"膊","ㄅㄛˊ","1.身體肩膀以下，手腕以上的部位。[例]胳膊
2.泛指人的上身。如裸露著上身稱為「打赤膊」。"
"薄","ㄅㄛˊ","1.扁平物體表面與底面之間距離小的。與「厚」相對。[例]薄紙、薄冰　◎    
2.稀疏的、淡的。[例]稀薄、薄酒    
3.微不足道的、卑下的。[例]薄禮、薄技、出身微薄    
4.苛刻、情誼少的。[例]刻薄、薄情    
5.鄙視、不尊重。[例]鄙薄、厚此薄彼、妄自菲薄    
6.不莊重。[例]輕薄    
7.貧瘠、不肥沃。[例]薄田    
8.迫近、接近。[例]日薄西山、兵薄城下    
9.姓。"
"薄片","ㄅㄛˊ　ㄆㄧㄢˋ","細薄的東西。[例]薄片餅乾、木板薄片"
"薄膜","ㄅㄛˊ　ㄇㄛˊ","附於物體外的薄皮。[例]要吃這年糕，得先把表面的薄膜撕去。"
"薄命","ㄅㄛˊ　ㄇㄧㄥˋ","苦命，命運不佳。[例]自古紅顏多薄命"
"薄暮","ㄅㄛˊ　ㄇㄨˋ","傍晚，太陽將落的時候。[例]蝙蝠在薄暮時分開始出來活動。"
"薄利多銷","ㄅㄛˊ　ㄌㄧˋ　ㄉㄨㄛ　ㄒㄧㄠ","商家以低價微利的方式，刺激顧客購買意願，藉此達到增加產品銷售量的目的。[例]這家公司一向採取薄利多銷的經營方式，所以商品物美價廉。"
"薄情","ㄅㄛˊ　ㄑㄧㄥˊ","寡情、無情。[例]薄情寡義"
"薄懲","ㄅㄛˊ　ㄔㄥˊ","輕微的處罰。[例]你應該給小明一點薄懲，以免他日後再犯同樣的錯。"
"薄紗","ㄅㄛˊ　ㄕㄚ","輕且薄的細紗。[例]今夏流行以薄紗製成的衣裳，看起來相當飄逸。"
"薄弱","ㄅㄛˊ　ㄖㄨㄛˋ","不堅強、易挫敗。[例]意志薄弱、兵力薄弱"
"礴","ㄅㄛˊ","→磅礴"
"駁","ㄅㄛˊ","1.本指馬的毛色不純。後引申為顏色雜亂或事務紛雜。[例]斑駁、駁雜
2.爭辯事理，否定別人的意見。[例]反駁、辯駁
3.載卸貨物。[例]駁運、駁貨"
"駁回","ㄅㄛˊ　ㄏㄨㄟˊ","1.不答應、受拒絕而退回。[例]他的無理要求已經被老師駁回了。
2.法院對不合訴訟程序及缺乏法定要件的案件，不予受理。[例]法院正式駁回他的上訴。"
"駁斥","ㄅㄛˊ　ㄔˋ","反駁斥責。[例]他的意見一經提出，立刻遭到眾人的駁斥。"
"駁船","ㄅㄛˊ　ㄔㄨㄢˊ","本身無自航能力，需依賴拖船拖帶的船隻，一般用來載人或貨物。拖船拖帶計有木駁、鐵駁、油駁、水駁、火車駁船、起重機駁船等多種。"
"駁雜","ㄅㄛˊ　ㄗㄚˊ","交雜混亂。[例]他的演說內容東拉西扯，十分駁雜。"
"蔔","ㄅㄛˊ","→蘿蔔"
"跛","ㄅㄛˇ","腿腳因傷病，以致走路時姿態不正常。[例]跛腳"
"跛腳","ㄅㄛˇ　ㄐㄧㄠˇ","腿腳因傷病，以致走路時姿態不正常。[例]我因為打球扭傷腳踝，現在走路還有點跛腳。"
"簸","ㄅㄛˇ","1.搖動畚箕，使米上下起落，以除去米糠。[例]簸揚
2.搖動。[例]簸動"
"播","ㄅㄛˋ","1.撒布種子。[例]播種
2.宣揚、傳布。[例]傳播、散播謠言
3.傳送、放送。[例]轉播、衛星直播、歌曲點播"
"播報","ㄅㄛˋ　ㄅㄠˋ","利用擴音器、收音機或電視機傳送聲音、影像的報導方式。[例]在體育新聞之後，往往接著播報氣象。"
"播放","ㄅㄛˋ　ㄈㄤˋ","利用擴音器、收音機或電視機、電腦等媒介傳送聲音、影像。[例]播放音樂、播放新聞"
"播弄","ㄅㄛˋ　ㄋㄨㄥˋ","1.擺布、玩弄。[例]他希望能掌握自己的人生，不受別人播弄。
2.挑撥。[例]播弄是非"
"播遷","ㄅㄛˋ　ㄑㄧㄢ","因禍患或其他因素而流離遷移。[例]中華民國政府於民國三十八年播遷來臺。"
"播種","ㄅㄛˋ　ㄓㄨㄥˇ","撒布種子於土壤中。[例]農夫在稻田裡辛苦的播種，期待有好的收成。"
"播出","ㄅㄛˋ　ㄔㄨ","利用擴音器、收音機或電視機傳送訊息或節目。[例]電視媒體經常會播出一些公益廣告。"
"播散","ㄅㄛˋ　ㄙㄢˋ","傳布散放。[例]蒲公英的種子會隨風播散各處。"
"播送","ㄅㄛˋ　ㄙㄨㄥˋ","利用無線或有線電波傳播放送。[例]收音機現正播送一場精彩的球賽。"
"播音","ㄅㄛˋ　ㄧㄣ","利用無線電波將語言、音樂傳送給聽眾。[例]白小姐從事播音工作已經三十多年了。"
"播揚","ㄅㄛˋ　ㄧㄤˊ","宣布傳揚。[例]請大家多多播揚這種有益於世道人心的道理。"
"播映","ㄅㄛˋ　ㄧㄥˋ","通常指電影或電視節目的播放。[例]這家電影院經常播映由文學名著改拍的電影。"
"薄","ㄅㄛˋ","→薄荷"
"薄荷","ㄅㄛˋ　ㄏㄜˊ","植物名。脣形科薄荷屬，多年生宿根草本。葉對生，長橢圓形而尖，邊緣有鋸齒，葉背有細斑點。夏秋間，葉腋簇生紫色小花。其莖葉提煉出來的薄荷油及薄荷腦具有清涼的香味，一般可作為點心、糖果的調味料，並可製成驅風劑、芳香劑。[例]像綠油精或白花油等提神劑，其中都含有薄荷成分。"
"薄荷腦","ㄅㄛˋ　ㄏㄜˊ　ㄋㄠˇ","薄荷莖葉和水加以蒸餾，所得的液體，用食鹽與冰屑的冷劑冷卻成固體，除去油分，放入酒精中再結晶即得。為無色針狀結晶，有特殊香氣，幾不溶於水。其味清涼，可供興奮劑、殺菌劑及其他醫藥用。又可作為牙粉、牙膏及糖果等的香料。[例]頭昏腦脹時，用薄荷腦塗在太陽穴及人中上，具有提神作用。"
"薄荷油","ㄅㄛˋ　ㄏㄜˊ　ㄧㄡˊ","薄荷莖葉經蒸餾所得的揮發油，無色或稍帶黃色。用作製藥輔助劑、興奮劑、對抗刺激劑、芳香劑等。"
"擘","ㄅㄛˋ","1.大拇指。[例]擘指、舉擘稱好
2.比喻特別優秀的人物。[例]巨擘
3.分裂、分析。[例]擘肌分理
4.規劃、處理。[例]擘劃"
"擘劃","ㄅㄛˋ　ㄏㄨㄚˋ","策劃、安排。[例]公司在總經理的擘劃經營下，業務蒸蒸日上。"
"簸","ㄅㄛˋ","→簸箕"
"簸箕","ㄅㄛˋ　ㄐㄧ","用來除去穀類糠皮的箕形器具。[例]以前的農人常用簸箕裝著稻穀，在風中上下甩動，借著風力把糠皮去掉。　◎"
"掰","ㄅㄞ","用雙手使勁將東西分開。[例]我掰開橘子後，分他一半。"
"白","ㄅㄞˊ","1.完全反射光線，像雪或乳汁般素淨的顏色。與「黑」相對。[例]雪白、純白、黑白分明
2.白色的。[例]白紙、白布、藍天白雲
3.清楚。[例]真相大白、含冤莫白、明白
4.空空的，沒加上任何東西的。[例]白飯、白開水
5.徒然、枉費。[例]他們只認得錢，託他們真是白託。
6.不付代價而得好處。[例]白吃、白喝
7.以合法掩護非法，以正當掩護不法的。與「黑」相對。[例]白道
8.陳述、說話。[例]自白、表白、道白
9.字寫錯。[例]這字寫白了。
10. 姓。"
"白白","ㄅㄞˊ　ㄅㄞˊ","1.平白無故的。[例]他什麼壞事也沒做，卻白白的被冤枉了。
2.無有收穫的。[例]年少要知珍惜時間，不要白白浪費生命。
3.無可奈何的。[例]快想辦法幫幫他，不要白白的看他走入絕境！"
"白報紙","ㄅㄞˊ　ㄅㄠˋ　ㄓˇ","用來印報紙等的白紙，較粗糙，略帶土黃色。[例]用白報紙印東西有個缺點，那就是時間一久紙色就泛黃了。"
"白斑","ㄅㄞˊ　ㄅㄢ","1.白色的斑點。[例]這櫃子上面長了白斑，是不是發黴了？
2.由於人體內生長黑色素的作用受到阻礙，而在皮膚上呈現出大小不等的乳白色斑痕的現象。[例]身上長白斑，往往是一種病症現象。"
"白板","ㄅㄞˊ　ㄅㄢˇ","1.麻將牌的牌面只有一方形框，沒有其他色彩或圖案者。　△白皮
2.一種非巴比妥鹽類的安眠鎮靜藥。藥效強，可抑制中樞神經，有鎮靜、催眠的作用，容易使人上癮。如果服食過量，會使人呼吸困難、發冷、休克，甚至死亡。
3.一種用白色顏料製成的黑板。以白板筆代替粉筆書寫。[例]學校教室自從換了白板後，不再有粉筆灰四處飛揚的情形了。"
